university,program,name,credits,mode
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architecting Digital Enterprises,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Frameworks and languages ​​for architects,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Milestone Driven Agile Execution,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Big Data Architectures,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Technical Debt in Software Architecture,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Final Project,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis 1,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis II,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Bioinformatics,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Programming Fundamentals for Biological Sciences,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Fundamentals of molecular biology,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Special Computational Biology Tutorial,1.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Algorithms in Computational Biology,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Bioinformatics applied to biodiversity studies,2.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Modeling of metabolic networks and their application in the industry,2.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Population genomic data analysis,2.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Phylogenomic,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Microbial ecology and bioinformatic analysis tools,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,High performance computing for biological sciences,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Statistics in Computational Biology,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,EBI tools for search and biological data analysis,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Computer tools for metabolic engineering,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Discovering our biodiversity through data -based approaches and bioinformatics,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Semiannual internship,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,INTERSEASTAL INSANTY,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Final Project,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,4CR thesis,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Tesis 8CR,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Tesis 2 - 4 CR (4 CR),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Tesis 2 - 8 CR (8 CR),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Advanced molecular biology,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Multidisciplinary Design Project in Engineering,3.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Algorithms Design and Analysis,3.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Apo i - algorithmic and programming i,3.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,APPO II - ALGORITMIC AND PROGRAMMING II,3.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Cupi bats,0.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,You in organizations,3.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,MONITORY ENGINEERING SYSTEMS 1,0.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Tesis I,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis II,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Functional programming,,Complemento
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Algorithms analysis,4.0,Fundamentación
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Intelligent agents,4.0,Profundización
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Formal methods algorithmic,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Artificial Intelligence and Knowledge Representation,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Programming paradigms,4.0,Fundamentación
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Concurrence and distribution,4.0,Profundización
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Machine Learning Techniques,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software verification,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Natural language processing,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Reinforcement Learning,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Internet of all things,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Modern topics cryptography,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,AI For Software Engineering,,Complemento
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Quantum computing: intro,,Complemento
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Technological Trends of Learning Support,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Next Generation Networks,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Mobile and next -generation services,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Technologies for the design of LAN and WAN communications networks,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Cloud Solutions Development,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Security tools and their foundations,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Programing Distributed Computing Systems,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Security and privacy in Iiot and IoT systems,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Semantic Web,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Knowledge Discovery In Social Networks,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,MODEL ENGINEERING,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Development of mixed reality applications,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Video game development,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,3D interactive environments,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Visual Analytics,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Interactive visual computing,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Images and vision,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Mobile robotics and autonomous systems,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Scientific Computing & Visualization,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Management skills in IT (Section 1),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Management skills in IT (Section 2),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Management skills in you,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Strategic finance and marketing,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,IT training training,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Entrepreneurship and Electronic Commerce (Section 1),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Entrepreneurship and Electronic Commerce (Section 2),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,IT GOVERNMENT,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business Analytics,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,IT management and services,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Fundamentals of Management in You,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Integration of information systems,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business Process Government,,Profundización
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Project Management Offices (PMO),4.0,Profundización
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,TI for public sector,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,New Digital Business ICT,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,IT in collaborative business (B2B),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Human talent and legal aspects in you,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Digital Customer Experience,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Change management in times of digital disruption,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,You in supply chain management,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,MANAGEMENT OF PRODS. Digital,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Directing digital transformation,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Digital State Transformation,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Digital transformation of the State and society,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Digital Product Management: From Strategy To Execution,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Final Project (Degree Project - Business Approach),4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis 1,4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis 2,4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Entrepreneurship Project (Degree Project - Entrepreneurship Approach),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Applied Data Science,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Information analysis about Big Data,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Knowledge administration,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Data strategy and leadership,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Data solutions in the cloud,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Recommendation systems,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Information Project Management,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Semantic Knowledge engineering and Applications,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Knowledge Discovery From Social and Information Networks,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Machine Learning analysis,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Activity Recognition from Sequential Sensor Datasets,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Data -centered organizations,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Data automation and orchestration,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Final Project,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Tesis I,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis II,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software modeling leveling,0.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Agile software development processes,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Productivity improvement: automation,4.0,Profundización
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software Development Project Management,4.0,Profundización
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,SW and Lin Fabricios Products,4.0,Profundización
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,User experience improvement,4.0,Profundización
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,SW agile architectures,4.0,Fundamentación
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,FUNCTIONAL PROGRAMMING WITH SCALA Application,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Automatic tests,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Integrative Project,4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis 1,4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis 2,4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Essential software engineering practices for agility,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Automated tests,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Agile development processes,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Cloud software development,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Cloud Apps Development,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,UX improvement,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,DEVOPS,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Project Management,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,IoT solution design,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Data analysis and modeling,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Design and Construction of APIS,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software metrics,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Analytitca processes,2.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Design and construction of non -monilitic applications,2.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Introduction to video game development,2.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Design Thinking,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,SW modernization,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Cryptographic engineering and its application in you,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Safe infrastructure (host & network),4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Defense and cybersecurity on the network,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Host security,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Security models Application and standard analysis,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,CSIRTS MANAGEMENT AND INCIDENT MANAGEMENT,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Safe programming,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Safe programming,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Project Management in Information Security,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Forensic computing,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Cybersecurity,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Modern cryptography in applications,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Modern cryptography in applications,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Offensive cybersecurity,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Deciphering Bitcoin,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Quantum computing and cryptography,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Data Science For Cybersecurity,,Complemento
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Cloud Security,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Final Project,4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis 1,4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Thesis 2,4.0,Integración
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Elective in another system of systems and computing,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Elective in another mastery,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Arti-4101: Project Management for Architects,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Arti-4102: Effective communication for architects,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Arti-4103: business architecture and IT strategy,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,ARTI-4104: Fundamentals of Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Power People,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architectures for new technologies,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Solution architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Information architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Information architecture,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Infrastructure architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Security architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Business Process Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Software Project Estimation,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architecting For The Cloud,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,New Generation Architectures,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Enterprise Modeling,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Digital transformation,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Intelligent Systems Architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Integration architecture,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Architecting Digital Enterprises,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Frameworks and languages ​​for architects,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Milestone Driven Agile Execution,4.0,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Big Data Architectures,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Technical Debt in Software Architecture,,
Universidad de los Andes,Maestría en Arquitecturas de Tecnologías de Información,Final Project,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Project Management for Architects,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Effective communication for architects,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Business architecture and IT strategy,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Fundamentals of architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Business architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Power People,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Software Architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Architectures for new technologies,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Solution architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Information architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Infrastructure architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Security architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Business Process Architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Software Project Estimation,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Architecting For The Cloud,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,New Generation Architectures,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Enterprise Modeling,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Digital transformation,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Intelligent Systems Architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Integration architecture,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Architecting Digital Enterprises,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Frameworks and languages ​​for architects,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Milestone Driven Agile Execution,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Big Data Architectures,,
Universidad de los Andes,Maestría en Ingeniería de Información,Technical Debt in Software Architecture,,
Universidad de los Andes,Maestría en Ingeniería de Información,Final Project,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Thesis 1,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Thesis II,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Bioinformatics,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Programming Fundamentals for Biological Sciences,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Fundamentals of molecular biology,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Special Computational Biology Tutorial,1.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Algorithms in Computational Biology,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Bioinformatics applied to biodiversity studies,2.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Modeling of metabolic networks and their application in the industry,2.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Population genomic data analysis,2.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Phylogenomic,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Microbial ecology and bioinformatic analysis tools,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,High performance computing for biological sciences,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Statistics in Computational Biology,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,EBI tools for search and biological data analysis,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Computer tools for metabolic engineering,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Discovering our biodiversity through data -based approaches and bioinformatics,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Semiannual internship,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,INTERSEASTAL INSANTY,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Final Project,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,4CR thesis,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Tesis 8CR,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Tesis 2 - 4 CR (4 CR),4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Thesis 1,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Thesis 2,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Advanced molecular biology,4.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Multidisciplinary Design Project in Engineering,3.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Algorithms Design and Analysis,3.0,
Universidad de los Andes,Maestría en Ingeniería de Información,Apo i - algorithmic and programming i,3.0,
Universidad de los Andes,Maestría en Ingeniería de Información,APPO II - ALGORITMIC AND PROGRAMMING II,3.0,
