university,program,name,credits,mode
University of California  Berkeley,Master of Engineering (M.Eng.),CS 289A,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 280,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 287H,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 206B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220C,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C222,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 223,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 227AT,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C227C,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C249B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 206A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 213A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 221A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C249A,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 289A,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 280,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 287H,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 206B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220C,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C222,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 223,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 227AT,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C227C,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C249B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 206A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 213A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 221A,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C249A,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 289A,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 280,,
University of California  Berkeley,Master of Engineering (M.Eng.),CS 287H,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 206B,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C220C,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C222,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE 223,,
University of California  Berkeley,Master of Engineering (M.Eng.),EECS 227AT,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C227C,,
University of California  Berkeley,Master of Engineering (M.Eng.),EE C249B,,
Oxford,MSc in Advanced Computer Science,MSc in Advanced Computer Science,12.0,Full Time Only
Oxford,Software and Systems Security MSc,Software and Systems Security MSc,,Part Time Only
Oxford,MSc in Software Engineering,MSc in Software Engineering,,Part Time Only
university of chicago,Computational and Applied Mathematics,Mathematical Computation I: Matrix Computation,,
university of chicago,Computational and Applied Mathematics,Applied Linear Algebra,,
university of chicago,Computational and Applied Mathematics,Mathematical Computation II: Optimization,,
university of chicago,Computational and Applied Mathematics,Machine Learning,,
university of chicago,Computational and Applied Mathematics,Applied Approximation Theory,,
university of chicago,Computational and Applied Mathematics,Applied Dynamical Systems,,
university of chicago,Computational and Applied Mathematics,Applied Analysis,,
university of chicago,Computational and Applied Mathematics,Applied Functional Analysis,,
university of chicago,Computational and Applied Mathematics,Partial Differential Equations,,
university of chicago,Computational and Applied Mathematics,Scientific Computing with Python,,
university of chicago,Computational and Applied Mathematics,Applied Partial Differential Equations,,
university of chicago,Computational and Applied Mathematics,Applied Fourier Analysis,,
university of chicago,Computational and Applied Mathematics,Inverse Problems and Data Assimilation,,
university of chicago,Computational and Applied Mathematics,Monte Carlo Simulation,,
university of chicago,Computational and Applied Mathematics,Modern Applied Optimization,,
university of chicago,Computational and Applied Mathematics,Mathematical Computation III: Numerical Methods for PDEs,,
university of chicago,Computational and Applied Mathematics,Fast Algorithms,,
university of chicago,Computational and Applied Mathematics,Stochastic Processes in Gene Regulation,,
university of chicago,Computational and Applied Mathematics,Variational Methods in Image Processing,,
university of chicago,Computational and Applied Mathematics,Foundations of Computational Dynamics,,
university of chicago,Computational and Applied Mathematics,Topics in Random Matrix Theory,,
university of chicago,Computational and Applied Mathematics,Algorithms for Massive Datasets,,
university of chicago,Computational and Applied Mathematics,Solving PDEs with Machine Learning,,
university of chicago,Computational and Applied Mathematics,Stochastic Calculus,,
university of chicago,Computational and Applied Mathematics,Measure Theoretic Probability (sequence),,
university of chicago,Computational and Applied Mathematics,Modern Inference,,
university of chicago,Computational and Applied Mathematics,Responsible Conduct of Research (RCR),,
Cornell University,Computer Science (M.Eng.) (Cornell Tech (NYC)),Computer Science M.Eng. (Cornell Tech (NYC)),,
Cornell University,Computer Science M.Eng. (Ithaca),Computer Science M.Eng. (Ithaca),,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5020,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5110,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5050,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5480,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5530,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5550,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5200,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5190,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5210,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5000,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 5710,4.0,
University of Pennsylvania,Computer & Information Science  MSE,CIS 9990,2.0,
University of Pennsylvania,Computer & Information Science  MSE,Advanced Topics in Machine Learning,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Theory of Machine Learning,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Advanced Topics in Natural Language Processing,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Principles of Deep Learning,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Design of Mechatronic Systems,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Introduction to Robotics,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Machine Learning,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Machine Perception,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Computer Vision & Computational Photography,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Advanced Topics in Machine Perception,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Software Foundations,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Principles of Embedded Computation,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Software Analysis,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Advanced Programming,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Software Engineering,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Advanced Topics in Programming Languages,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Computer-Aided Verification,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Friendly Logics,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Software Systems,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Embedded Software for Life-Critical Applications,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Operating Systems Design and Implementation,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Wireless Communications for Mobile Networks and Internet of Things,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Database and Information Systems,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Computer and Network Security,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Networked Systems,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Internet and Web Systems,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Advanced Topics in Databases,1.0,
University of Pennsylvania,Computer & Information Science  MSE,Analysis of Algorithms,,
University of Pennsylvania,Computer & Information Science  MSE,Theory of Computation,,
University of Pennsylvania,Computer & Information Science  MSE,Fundamentals of Linear Algebra and Optimization,,
University of Pennsylvania,Computer & Information Science  MSE,Ethical Algorithm Design,,
University of Pennsylvania,Computer & Information Science  MSE,Cryptography,,
University of Pennsylvania,Computer & Information Science  MSE,Theory of Machine Learning,,
University of Pennsylvania,Computer & Information Science  MSE,Advanced Topics in Programming Languages,,
University of Pennsylvania,Computer & Information Science  MSE,Friendly Logics,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIT 5910,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Introduction to Software Development,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,CIT 5920,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Mathematical Foundations of Computer Science,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,CIT 5930,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Introduction to Computer Systems,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,CIT 5940,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Data Structures and Software Design,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,CIT 5950,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Computer Systems Programming,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,CIT 5960,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Algorithms and Computation,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5150,,
University of Pennsylvania,Computer & Information Technology  MCIT,Fundamentals of Linear Algebra and Optimization,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5210,,
University of Pennsylvania,Computer & Information Technology  MCIT,Artificial Intelligence,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5300,,
University of Pennsylvania,Computer & Information Technology  MCIT,Natural Language Processing,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5450,,
University of Pennsylvania,Computer & Information Technology  MCIT,Big Data Analytics,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5470,,
University of Pennsylvania,Computer & Information Technology  MCIT,Software Analysis,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5490,,
University of Pennsylvania,Computer & Information Technology  MCIT,Wireless Communications for Mobile Networks and Internet of Things,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5500,,
University of Pennsylvania,Computer & Information Technology  MCIT,Database and Information Systems,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5510,,
University of Pennsylvania,Computer & Information Technology  MCIT,Computer and Network Security,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5530,,
University of Pennsylvania,Computer & Information Technology  MCIT,Networked Systems,,
University of Pennsylvania,Computer & Information Technology  MCIT,CIS 5550,,
University of Pennsylvania,Computer & Information Technology  MCIT,Internet and Web Systems,,
University of Pennsylvania,Computer & Information Technology  MCIT,GPU Computing for Machine Learning Systems,,
University of Pennsylvania,Computer & Information Technology  MCIT,Computer Vision & Computational Photography,,
University of Pennsylvania,Computer & Information Technology  MCIT,Cloud Technologies Practicum,,
University of Pennsylvania,Computer & Information Technology  MCIT,Machine Learning for Data Science,,
University of Pennsylvania,Computer & Information Technology  MCIT,Statistics for Data Science,,
University of Pennsylvania,Computer & Information Technology  MCIT,Principles of Deep Learning,,
University of Pennsylvania,Computer & Information Technology  MCIT,Mathematical Foundations for Machine Learning I: Probability,,
University of Pennsylvania,Computer & Information Technology  MCIT,Technology Ethics and the Legal Landscape,,
University of Pennsylvania,Computer & Information Technology  MCIT,How to Use Data,,
University of Pennsylvania,Computer & Information Technology  MCIT,Imaging Informatics,,
University of Pennsylvania,Computer & Information Technology  MCIT,Medical Image Analysis,,
University of Pennsylvania,Computer & Information Technology  MCIT,Blockchains,,
University of Pennsylvania,Computer & Information Technology  MCIT,Blockchains and Cryptography,,
University of Pennsylvania,Computer & Information Technology  MCIT,Digital Health,2.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Introduction to Software Development,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Mathematical Foundations of Computer Science,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Introduction to Computer Systems,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Data Structures and Software Design,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Computer Systems Programming,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Algorithms and Computation,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Core Methods in Educational Data Mining,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Master's Foundations of Teaching and Learning,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Feature Engineering,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Capstone Seminar: Learning Analytics,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Large Language Model Seminar,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Deep Learning and Transformer Models,1.0,
University of Pennsylvania,Computer & Information Technology  MCIT,Masters Capstone Project,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,3-D Computer Modeling,1.0,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Interactive Computer Graphics,1.0,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Computer Animation,1.0,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Advanced Topics in Computer Graphics and Animation,1.0,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Applied Machine Learning,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Machine Learning,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Advanced Computer Graphics,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Physically Based Animation,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Computer Vision & Computational Photography,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Machine Perception,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Introduction to Probability and Statistics,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Engineering Entrepreneurship I,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Product Design,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,GPU Programming and Architecture,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Advanced Computer Graphics,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Physically Based Animation,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Video I,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Cinema Production,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Computer Animation,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Advanced Computer Graphics,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Physically Based Animation,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Computer Vision & Computational Photography,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Machine Perception,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Applied Machine Learning,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Machine Learning,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Feedback Control Design and Analysis,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Model Predictive Control,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Internet and Web Systems,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Independent Study for Masters Students,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Game Design and Development (only offered during the summer term),,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Engineering Entrepreneurship II,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Art of the Web: Interactive Concepts for Art & Design,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Digital Figure Modeling,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Enabling Technologies,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Advanced Projects in Animation,,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Game Design Practicum,1.0,
University of Pennsylvania,Computer Graphics & Game Technology  MSE,Master's Thesis,,
University College London,Artificial Intelligence and Data Engineering MSc,Requirements Engineering and Software Architecture,15.0,
University College London,Artificial Intelligence and Data Engineering MSc,Validation and Verification,15.0,
University College London,Artificial Intelligence and Data Engineering MSc,Software Development Practice,15.0,
University College London,Artificial Intelligence and Data Engineering MSc,Professional Practice,15.0,
University College London,Artificial Intelligence and Data Engineering MSc,Engineering for Data Analysis 1,15.0,
University College London,Artificial Intelligence and Data Engineering MSc,Engineering for Data Analysis 2,15.0,
University College London,Artificial Intelligence and Data Engineering MSc,MSc Software Systems Engineering Group Project,15.0,
University College London,Artificial Intelligence and Data Engineering MSc,MSc Artificial Intelligence and Data Engineering Research Project,6.0,
University College London,Artificial Intelligence and Data Engineering MSc,Supervised Learning,,
University College London,Artificial Intelligence and Data Engineering MSc,Introduction to Machine Learning,,
University College London,Artificial Intelligence and Data Engineering MSc,Data Science,,
University College London,Artificial Intelligence and Data Engineering MSc,Applied Deep Learning,,
University College London,Computer Graphics  Vision and Imaging MSc,Machine Vision,15.0,
University College London,Computer Graphics  Vision and Imaging MSc,Image Processing,15.0,
University College London,Computer Graphics  Vision and Imaging MSc,Computer Graphics,15.0,
University College London,Computer Graphics  Vision and Imaging MSc,Machine Learning for Visual Computing,15.0,
University College London,Computer Graphics  Vision and Imaging MSc,Virtual Environments,,
University College London,Computer Graphics  Vision and Imaging MSc,Inverse Problems in Imaging,,
University College London,Computer Graphics  Vision and Imaging MSc,Computational Modelling for Biomedical Imaging,,
University College London,Computer Graphics  Vision and Imaging MSc,Acquisition and Processing of 3D Geometry,,
University College London,Computer Graphics  Vision and Imaging MSc,Numerical Optimisation,,
University College London,Computer Graphics  Vision and Imaging MSc,Robot Vision and Navigation,,
University College London,Computer Graphics  Vision and Imaging MSc,Perception and Interfaces,,
University College London,Computer Science MSc,Introductory Programming,15.0,
University College London,Computer Science MSc,App Engineering,15.0,
University College London,Computer Science MSc,Computer Architecture and Operating Systems,15.0,
University College London,Computer Science MSc,Algorithmics,15.0,
University College London,Computer Science MSc,MSc Computer Science Project,6.0,
University College London,Computer Science MSc,Database Fundamentals,15.0,
University College London,Computer Science MSc,Functional Programming,,
University College London,Computer Science MSc,Interaction Design,,
University College London,Computer Science MSc,Technology Entrepreneurship,,
University College London,Computer Science MSc,Software Engineering,,
University College London,Information Security MSc,Introduction to Cryptography,15.0,
University College London,Information Security MSc,Computer Security I,15.0,
University College London,Information Security MSc,Computer Security II,15.0,
University College London,Information Security MSc,Research in Information Security,15.0,
University College London,Information Security MSc,MSc Information Security Dissertation,6.0,
University College London,Information Security MSc,People and Security,15.0,
University College London,Information Security MSc,Information Security Management,15.0,
University College London,Information Security MSc,Malware,15.0,
University College London,Information Security MSc,Privacy Enhancing Technologies,15.0,
University College London,Information Security MSc,Cryptocurrencies,15.0,
University College London,Information Security MSc,Cybersafety and Online Harms,15.0,
University College London,Information Security MSc,Cybercrime,15.0,
University College London,Robotics and Artificial Intelligence MSc,Robotics and Artificial Intelligence MSc,,Full-time
University College London,Robotics and Artificial Intelligence MSc,Modelling and Motion Planning,15.0,
University College London,Robotics and Artificial Intelligence MSc,Estimation and Control,15.0,
University College London,Robotics and Artificial Intelligence MSc,Computer Vision and Sensing,15.0,
University College London,Robotics and Artificial Intelligence MSc,Machine Learning for Robotics,15.0,
University College London,Robotics and Artificial Intelligence MSc,MSc Robotics and Artificial Intelligence Project,6.0,
University College London,Robotics and Artificial Intelligence MSc,Robot Vision and Navigation,15.0,
University College London,Robotics and Artificial Intelligence MSc,Affective Computing and Human-Robot Interaction,,
University College London,Robotics and Artificial Intelligence MSc,Virtual Environments,,
University College London,Robotics and Artificial Intelligence MSc,Perception and Interfaces,,
University College London,Robotics and Artificial Intelligence MSc,Aerial Robotics: Fundamentals to Practice in Real-World Environments,,
University College London,Robotics and Artificial Intelligence MSc,Introduction to Soft Robotics,,
University College London,Robotics and Artificial Intelligence MSc,Legged Robotics Systems,,
University College London,Robotics and Artificial Intelligence MSc,Object Detection and Classification,,
University College London,Robotics and Artificial Intelligence MSc,Sensors and Location,,
University College London,Software Systems Engineering MSc,Requirements Engineering and Software Architecture,15.0,
University College London,Software Systems Engineering MSc,Validation and Verification,15.0,
University College London,Software Systems Engineering MSc,Software Development Practice,15.0,
